source_doc_id,order_date,pharmacy_id,revenue_egp,order_status,source_system,supplier_key,supplier_name,branch_id,doc_type,canonical_name,resolved_area
300010,2024-09-15 12:58:47,1116,1968.64,shipped,APP,APP,Mobile App,,,El Shifa Pharmacy - Dokki,Smouha
300022,2024-09-24 10:01:33,1332,2124.93,paid,APP,APP,Mobile App,,,Star Care Pharmacy - Oct City,
300023,2024-09-06 10:27:54,1332,955.72,paid,APP,APP,Mobile App,,,Star Care Pharmacy - Oct City,
300040,2024-09-21 06:55:24,1480,2607.09,shipped,APP,APP,Mobile App,,,Mira Pharmacy - Marg,
300043,2024-09-23 10:27:09,1510,4084.52,paid,APP,APP,Mobile App,,,Dr Medhat Pharmacy - Nasr,Nasr City
300046,2024-09-11 12:34:33,1537,4667.79,paid,APP,APP,Mobile App,,,Star Care Pharmacy,Nasr City
300058,2024-09-20 14:28:44,1611,4196.12,paid,APP,APP,Mobile App,,,Nile Care Pharmacy - Helwan,Nasr City
300060,2024-09-07 07:45:56,1666,976.78,paid,APP,APP,Mobile App,,,Hope Pharmacy - Agami,Nasr City
300065,2024-09-12 08:28:04,1833,2871.34,shipped,APP,APP,Mobile App,,,El Tourath Pharmacy,Nasr City
300068,2024-09-12 11:06:09,1866,2715.2,paid,APP,APP,Mobile App,,,Elite Pharmacy,Nasr City
300069,2024-09-26 13:47:52,1900,2706.64,paid,APP,APP,Mobile App,,,Golden Care Pharmacy - Faisal,Faisal
300079,2024-09-28 12:59:44,2021,9325.99,paid,APP,APP,Mobile App,,,Hope Pharmacy - Dokki,Faisal
300082,2024-09-17 14:40:51,2029,5072.2300000000005,paid,APP,APP,Mobile App,,,El Zahraa Pharmacy - Imbaba,Faisal
300084,2024-09-11 12:52:41,2040,3701.39,paid,APP,APP,Mobile App,,,El Baraka Pharmacy - Faisal,Faisal
300092,2024-09-11 07:10:27,2132,1886.01,paid,APP,APP,Mobile App,,,Sunrise Pharmacy - Agami,Faisal
300102,2024-09-07 06:00:35,2301,4248.89,shipped,APP,APP,Mobile App,,,Sunrise Pharmacy,
300104,2024-09-19 10:00:27,2326,2899.98,shipped,APP,APP,Mobile App,,,El Nasr Pharmacy,Faisal
300116,2024-09-01 11:17:15,2397,2940.92,paid,APP,APP,Mobile App,,,Al Nozha Pharmacy - Mohandessin,Mohandessin
300119,2024-09-13 10:10:31,2447,4517.4,paid,APP,APP,Mobile App,,,Alpha Pharma,Mohandessin
300126,2024-09-19 08:13:51,2576,4881.84,paid,APP,APP,Mobile App,,,Better Life Pharmacy - Mohandessin,Mohandessin
300130,2024-09-18 10:37:24,2598,4040.1,shipped,APP,APP,Mobile App,,,Life Line Pharmacy,Mohandessin
