pharmacy_id,registry_area,resolved_area,area_source,area_confidence,vote_breakdown,area_conflict,evidence_count,conflicting_area_count
1001,,,,,{},False,0,0
1003,,,,,{},False,0,0
1004,,,,,{},False,0,0
1005,,,,,{},False,0,0
1006,,,,,{},False,0,0
1009,,,,,{},False,0,0
1013,,,,,{},False,0,0
1014,,,,,{},False,0,0
1019,,,,,{},False,0,0
1021,,,,,{},False,0,0
1022,,,,,{},False,0,0
1024,,,,,{},False,0,0
1025,,,,,{},False,0,0
1032,,,,,{},False,0,0
1033,,,,,{},False,0,0
1034,,,,,{},False,0,0
1036,,,,,{},False,0,0
1037,,,,,{},False,0,0
1042,,,,,{},False,0,0
1043,,,,,{},False,0,0
1047,,,,,{},False,0,0
1048,,,,,{},False,0,0
1049,,,,,{},False,0,0
1052,,,,,{},False,0,0
1056,,,,,{},False,0,0
1057,,,,,{},False,0,0
1062,,,,,{},False,0,0
1063,,,,,{},False,0,0
1066,,,,,{},False,0,0
1067,,,,,{},False,0,0
1068,,,,,{},False,0,0
1070,,,,,{},False,0,0
1072,,,,,{},False,0,0
1074,,,,,{},False,0,0
1076,,,,,{},False,0,0
1077,,,,,{},False,0,0
1081,,,,,{},False,0,0
1084,,,,,{},False,0,0
1085,,,,,{},False,0,0
1086,,,,,{},False,0,0
1087,,,,,{},False,0,0
1090,,,,,{},False,0,0
1091,,,,,{},False,0,0
1094,,,,,{},False,0,0
1096,,,,,{},False,0,0
1098,,,,,{},False,0,0
1104,,,,,{},False,0,0
1105,,,,,{},False,0,0
1106,,,,,{},False,0,0
1107,,,,,{},False,0,0
1109,,,,,{},False,0,0
1111,,,,,{},False,0,0
1112,,,,,{},False,0,0
1117,,,,,{},False,0,0
1118,,,,,{},False,0,0
1119,,,,,{},False,0,0
1124,,,,,{},False,0,0
1125,,,,,{},False,0,0
1126,,,,,{},False,0,0
1127,,,,,{},False,0,0
1130,,,,,{},False,0,0
1131,,,,,{},False,0,0
1132,,,,,{},False,0,0
1133,,,,,{},False,0,0
1134,,,,,{},False,0,0
1136,,,,,{},False,0,0
1137,,,,,{},False,0,0
1146,,,,,{},False,0,0
1147,,,,,{},False,0,0
1148,,,,,{},False,0,0
1151,,,,,{},False,0,0
1152,,,,,{},False,0,0
1156,,,,,{},False,0,0
1157,,,,,{},False,0,0
1158,,,,,{},False,0,0
1164,,,,,{},False,0,0
1165,,,,,{},False,0,0
1167,,,,,{},False,0,0
1171,,,,,{},False,0,0
1172,,,,,{},False,0,0
1174,,,,,{},False,0,0
1175,,,,,{},False,0,0
1177,,,,,{},False,0,0
1180,,,,,{},False,0,0
1183,,,,,{},False,0,0
1184,,,,,{},False,0,0
1185,,,,,{},False,0,0
1189,,,,,{},False,0,0
1190,,,,,{},False,0,0
1195,,,,,{},False,0,0
1196,,,,,{},False,0,0
1198,,,,,{},False,0,0
1199,,,,,{},False,0,0
1201,,,,,{},False,0,0
1204,,,,,{},False,0,0
1205,,,,,{},False,0,0
1206,,,,,{},False,0,0
1209,,,,,{},False,0,0
1211,,,,,{},False,0,0
1212,,,,,{},False,0,0
1213,,,,,{},False,0,0
1214,,,,,{},False,0,0
1224,,,,,{},False,0,0
1225,,,,,{},False,0,0
1228,,,,,{},False,0,0
1230,,,,,{},False,0,0
1231,,,,,{},False,0,0
1234,,,,,{},False,0,0
1235,,,,,{},False,0,0
1243,,,,,{},False,0,0
1244,,,,,{},False,0,0
1245,,,,,{},False,0,0
1247,,,,,{},False,0,0
1252,,,,,{},False,0,0
1256,,,,,{},False,0,0
1258,,,,,{},False,0,0
1259,,,,,{},False,0,0
1260,,,,,{},False,0,0
1263,,,,,{},False,0,0
1267,,,,,{},False,0,0
1268,,,,,{},False,0,0
1270,,,,,{},False,0,0
1273,,,,,{},False,0,0
1276,,,,,{},False,0,0
1278,,,,,{},False,0,0
1281,,,,,{},False,0,0
1283,,,,,{},False,0,0
1289,,,,,{},False,0,0
1293,,,,,{},False,0,0
1296,,,,,{},False,0,0
1304,,,,,{},False,0,0
1305,,,,,{},False,0,0
1306,,,,,{},False,0,0
1311,,,,,{},False,0,0
1313,,,,,{},False,0,0
1316,,,,,{},False,0,0
1317,,,,,{},False,0,0
1321,,,,,{},False,0,0
